Song,Artist,Overall Sentiment,Polarity,Subjectivity,Valence,Energy,Loudness,Tempo,Danceability
Soak City,310babii,Negative,-0.149436454271165,0.51882216497919,0.257,0.694,-6.358,101.919,0.861
23,Chayce Beckham,Negative,-0.025138888888888895,0.4912103174603175,0.428,0.583,-7.346,87.977,0.626
Mamaws House,Thomas Rhett,Negative,-0.215945165945166,0.4716810966810968,0.422,0.704,-7.686,89.985,0.559
Training Season,Dua Lipa,Positive,0.17970238095238097,0.5688690476190476,0.671,0.582,-4.5,123.03,0.815
One Call,Rich Amiri,Negative,-0.05344444444444445,0.5311111111111113,0.253,0.539,-7.281,158.105,0.65
Act II: Date @ 8,4Batz,Positive,0.08749999999999998,0.6041666666666666,0.749,0.417,-13.02,138.811,0.718
La Victima,Xavi,Negative,-0.5,0.3,0.666,0.835,-3.598,140.082,0.778
FTCU,Nicki Minaj,Negative,-0.2795238095238096,0.5652380952380954,0.242,0.458,-6.751,144.995,0.928
Overcompensate,twenty one pilots,Positive,0.13617511520737324,0.4539170506912444,0.331,0.891,-5.563,95.089,0.363
Wildflowers And Wild Horses,Lainey Wilson,Negative,-0.15686274509803919,0.5352941176470589,0.34,0.644,-5.787,117.379,0.442
Tu Name,Fuerza Regida,Positive,0.0,0.0,0.884,0.747,-5.083,128.912,0.76
Murder On The Dancefloor,Sophie Ellis-Bextor,Positive,0.22936507936507933,0.5182539682539685,0.887,0.849,-5.281,117.31,0.73
Spin You Around (1/24),Morgan Wallen,Positive,0.21535714285714286,0.5936904761904762,0.658,0.451,-6.019,141.947,0.615
Scared To Start,Michael Marcagi,Negative,-0.02556517556517557,0.45497354497354503,0.443,0.551,-11.258,148.035,0.527
Burn,¥$,Positive,0.13637152777777775,0.5711805555555555,0.736,0.885,-6.21,105.003,0.6
Sensational,Chris Brown,Positive,0.2604885057471264,0.5844827586206898,0.797,0.609,-7.077,100.008,0.774
Harley Quinn,Fuerza Regida,Negative,-0.75,0.9,0.591,0.741,-6.04,125.031,0.815
Holy Smokes,Bailey Zimmerman,Positive,0.04783333333333333,0.23566666666666664,0.432,0.569,-7.908,95.117,0.462
Doctor (Work It Out),Pharrell,Negative,-0.5,0.3,0.93,0.624,-5.502,120.03,0.841
Bandit,Don Toliver,Positive,0.09166666666666667,0.5979166666666668,0.109,0.615,-9.593,130.031,0.671
Where It Ends,Bailey Zimmerman,Positive,0.033730158730158714,0.3103174603174603,0.648,0.837,-5.067,170.041,0.431
Nee-nah,21 Savage,Negative,-0.13679638328574498,0.4763660925363054,0.318,0.758,-6.524,165.423,0.678
Home,Good Neighbours,Negative,-0.01587301587301585,0.373015873015873,0.134,0.676,-4.44,77.002,0.583
Mmhmm,BigXthaPlug,Positive,0.037794117647058825,0.46563725490196084,0.962,0.682,-8.799,126.003,0.93
Bellakeo,Peso Pluma,Positive,0.0,0.0,0.463,0.88,-2.834,180.011,0.72
Oklahoma Smokeshow,Zach Bryan,Negative,-0.10277777777777775,0.37407407407407406,0.233,0.573,-5.694,122.977,0.544
Coal,Dylan Gossett,Negative,-0.09593253968253967,0.5467261904761904,0.439,0.223,-9.561,97.045,0.522
Perro Negro,Bad Bunny,Positive,0.023333333333333362,0.6933333333333334,0.345,0.778,-2.248,96.057,0.911
My Eyes,Travis Scott,Negative,-0.04551904058001619,0.48716327033400214,0.28,0.621,-7.694,119.043,0.455
Standing Next To You,Jung Kook,Positive,0.037362637362637355,0.1796703296703297,0.816,0.809,-4.389,106.017,0.711
Tucson Too Late,Jordan Davis,Negative,-0.20050505050505052,0.5414141414141412,0.385,0.707,-7.19,105.917,0.661
Igual Que Un Angel,Kali Uchis,Negative,-0.037037037037037056,0.2925925925925926,0.464,0.61,-5.36,107.999,0.685
Forever,Noah Kahan,Positive,0.23585470085470087,0.592991452991453,0.235,0.254,-10.855,94.78,0.395
Contigo,Karol G,Negative,-0.1,0.2,0.268,0.545,-7.826,122.029,0.846
Worth It,Offset,Positive,0.065008658008658,0.46082251082251086,0.555,0.725,-5.065,95.055,0.82
Lets Go,Key Glock,Negative,-0.06126228269085411,0.5495842781557065,0.303,0.526,-7.612,75.505,0.673
Fuk Sumn,¥$,Negative,-0.07833867521367523,0.5804220085470089,0.438,0.818,-2.825,142.084,0.774
Think U The Shit (Fart),Ice Spice,Negative,-0.04851190476190477,0.5705357142857143,0.311,0.545,-6.647,122.101,0.967
Hiss,Megan Thee Stallion,Negative,-0.12409960931087698,0.6065005417118096,0.686,0.663,-5.056,167.137,0.745
Prove It,21 Savage,Positive,0.19742647058823531,0.5303921568627451,0.263,0.743,-5.418,133.897,0.559
We Dont Fight Anymore,Carly Pearce,Negative,-0.19583333333333328,0.5000000000000001,0.419,0.564,-6.517,129.944,0.619
Creek Will Rise,Conner Smith,Positive,0.09268707482993196,0.3954081632653062,0.892,0.887,-2.97,169.975,0.423
16 Carriages,Beyonce,Negative,-0.015104166666666669,0.45260416666666664,0.382,0.453,-7.047,127.246,0.525
Wondering Why,The Red Clay Strays,Positive,0.1909722222222222,0.5637820512820512,0.347,0.209,-12.437,148.59,0.524
Wine Into Whiskey,Tucker Wetmore,Positive,0.12718253968253967,0.5796626984126985,0.318,0.642,-5.406,149.986,0.685
